"Date","Price","Open","High","Low","Vol.","Change %"
"07/02/2024","7,850.90","7,808.90","7,878.60","7,808.90","1.16B","0.54%"
"06/02/2024","7,808.90","7,855.40","7,855.40","7,769.20","1.02B","-0.59%"
"05/02/2024","7,855.40","7,931.60","7,931.60","7,824.90","885.41M","-0.96%"
"02/02/2024","7,931.60","7,818.80","7,934.90","7,818.80","1.11B","1.44%"
"01/02/2024","7,818.80","7,912.80","7,912.80","7,808.20","1.03B","-1.19%"
"31/01/2024","7,912.80","7,835.00","7,913.90","7,805.20","1.33B","0.99%"
"30/01/2024","7,835.00","7,808.30","7,862.60","7,808.30","1.08B","0.34%"
"29/01/2024","7,808.30","7,785.20","7,812.80","7,775.70","1.08B","0.30%"
"25/01/2024","7,785.20","7,748.10","7,787.00","7,748.10","920.87M","0.48%"
"24/01/2024","7,748.10","7,742.10","7,766.00","7,728.70","976.06M","0.08%"
"23/01/2024","7,742.10","7,702.30","7,757.90","7,702.30","989.09M","0.52%"
"22/01/2024","7,702.30","7,652.30","7,708.50","7,652.30","1.10B","0.65%"
"19/01/2024","7,652.30","7,575.60","7,678.80","7,575.60","1.02B","1.01%"
"18/01/2024","7,575.60","7,622.50","7,622.50","7,551.20","1.24B","-0.62%"
"17/01/2024","7,622.50","7,647.10","7,650.70","7,604.00","1.07B","-0.32%"
"16/01/2024","7,647.10","7,730.10","7,730.10","7,632.90","923.10M","-1.07%"
"15/01/2024","7,730.10","7,730.50","7,739.40","7,709.70","898.12M","-0.01%"
"12/01/2024","7,730.50","7,736.80","7,736.80","7,705.50","857.93M","-0.08%"
"11/01/2024","7,736.80","7,702.70","7,748.40","7,702.10","843.20M","0.44%"
"10/01/2024","7,702.70","7,749.50","7,749.50","7,697.10","913.56M","-0.60%"
"09/01/2024","7,749.50","7,676.80","7,770.50","7,676.80","841.85M","0.95%"
"08/01/2024","7,676.80","7,718.40","7,732.50","7,667.30","872.11M","-0.54%"
"05/01/2024","7,718.40","7,730.60","7,750.30","7,717.50","681.98M","-0.16%"
"04/01/2024","7,730.60","7,757.30","7,763.30","7,714.80","754.75M","-0.34%"
"03/01/2024","7,757.30","7,867.40","7,867.40","7,755.80","754.62M","-1.40%"
"02/01/2024","7,867.40","7,829.50","7,870.90","7,823.20","276.83M","0.48%"
"29/12/2023","7,829.50","7,852.10","7,852.10","7,815.60","647.41M","-0.29%"
